text	sentiment
Salgo de VeoTV , que día más largoooooo...	N
username No te libraras de ayudar me/nos. Besos y gracias	NEU
username Gracias MAR	NEU
Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)	N
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!	P
RT username: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era username...	NEU
Toca username . Grabación dl especial Navideño...Mari crismas!	NEU
Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.	NEU
Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia username Hoy podría ser un día para la grandeza humana.	P
Desde el escaño. Todo listo para empezar endiascomohoy en el Congreso  url	NEU
Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.	NEU
Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?	N
programascambiados caca d ajuste	N
Buen viernes	P
"username: programascambiados es TT gracias a username" GRACIAS POR EL BUEN RATO AMIGOS!!;)	P
Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?	P
Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]:  url	P
La Universidad confía en De la Calle para encarar sus retos más ambiciosos  url	P
¿Me ayudáis a que indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros  url	P
abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE  url	N
abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores  url	N
La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas	N
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste HerenciaPSOE	N
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. username traslada a Hospital Doce de Octubre vía username	N
"La verdadera seriedad es cómica". Niall Binns retrata a Nicanor Parra, premio Cervantes.  url	NEU
FF a ti, que deseas desesperadamente hacerme FF, pero no lo haces por el qué dirán.	P
Mis FF xa username x volver a sonreír, a username x ser tan autentico, a username x su subidòn y a username x su victoria	P
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar sevillahoy	P
